"id","video_id","title","description","channel_id","channel_name","publish_time","category","sub_category","duration","view_count","like_count","dislike_count","comment_count","is_available"
"31","0HwR9KXB5Tk","“Who’s That Doll” 🎥 Our first stop-motion. Should I make more??? #pidgindoll #pidgin #artdoll","Circa 2018, Animated by Hillary Barton #fashiondolls #doll #dolls #dollartist #stopmotion #stopmotionanimation #animation ...","UCgbM6dslSl_h_UaU3E32tgQ","Pidgin Doll","2022-09-22T16:11:20Z","Film & Animation","Stop motion","27","2626706","401512","0","5664","1"
"32","MRiY1HBeJC0","Testing #Coraline’s father in this early #wip #animation test. #stopmotion #laikastudios #shorts",,"UCBnyjFhOn23xjsqOUW4j6OQ","LAIKA Studios","2022-06-15T18:03:09Z","Film & Animation","Stop motion","32","2516618","297146","0","1227","1"
"33","TtOdauUh0RM","Making PAPER People for Wild West Stopmotion 🤠",,"UC5qFBTCSYO6Pc69bZk9CmfQ","Righteous Robot","2024-03-24T16:13:07Z","Film & Animation","Stop motion","52","1197973","134370","0","297","1"
"34","vhJFB1gy8Sg","Smiling Friends: Chucklebone","I love smiling friends go watch season 2. I animated this music vid cuz how do I do a parody of something already funnier than me.","UCOk99g-sLRGo48zXlBGR5fQ","Chuckle Bone","2024-05-08T16:53:50Z","Film & Animation","Stop motion","42","2234949","245449","0","2251","1"
"35","i15Wr94f9Zg","Captain America vs The Winter Soldier - Highway Fight Scene - Stop-Motion Recreation","An almost 1:1 recreation of one of my favorite MCU fight scenes of all time. I've been wanting to do this for years, and now that I ...","UCJiCkEbPfOJNKA1H6PtY4Sg","Dang IT Productions","2024-05-15T20:45:01Z","Film & Animation","Stop motion","49","9003","949","0","99","1"
"36","aAq5NBZNkI0","Clockwork Calamity  | Paper Mario Stop-Motion","Mario and Princess Peach are trying to repair the old Cardboard Clock Tower, but a group of uncooperative Swoops are making ...","UCppY77Y1NGy7nIsTGH-qcMA","PaperMrio","2024-06-04T17:00:00Z","Film & Animation","Stop motion","97","23701","2404","0","146","1"
"37","gII2fYgoLno","easy animation with Photoroom 📔💌 #editingtutorial #tutorials #howtoanimate #stopmotion",,"UCDOoX2uWHoCu8z_df1wbFDQ","Katie Glasgow","2023-04-25T15:02:38Z","Film & Animation","Stop motion","32","6293","621","0","4","1"
"38","lwaHTKdT4t4","My Hero Academia- Recreating Ochako’s Uravity Moment |Stop Motion","Animist - - - ""Animist"" is a person who believes that every material thing has a soul; a human being that worships Animism.","UCweDxCT5Fiykk3uHqPKqLWg","Animist","2021-06-27T11:00:16Z","Film & Animation","Stop motion","45","6177128","576658","0","1846","0"
"39","SItnnVVF-3k","Lego Killer Pigs (stop motion animation)","Lego pigs eating Lego people.","UCeaWKnR7mBPgazugXL5bARw","M.T. Stop Motion","2024-07-22T18:11:36Z","Film & Animation","Stop motion","162","6511","598","0","96","1"
"40","5BjogK-6nFg","Dragonball - Vegeta Asking Bulma Out | Stop Motion","Making - - - https://youtu.be/OL2HUy18OzE Animist - - - ""Animist"" is a person who believes that every material ...","UCweDxCT5Fiykk3uHqPKqLWg","Animist","2022-06-12T11:00:07Z","Film & Animation","Stop motion","44","1472046","130349","0","1027","1"
